source_id,teff_gspphot,logg_gspphot,mg_gspphot,mh_gspphot,radius_gspphot,distance_gspphot,lum_flame,mass_flame,age_flame,evolstage_flame,ag_gspphot
2201556328489610752,5580.4634,4.3089,4.3522,-0.0233,1.233,64.3649,1.3272448,0.9554781,11.163272,397,0.0183
2281778105594488192,,,,,,,,,,,
2358022227591374336,,,,,,,,,,,
2371032916186181760,,,,,,,,,,,
2386410312150368256,4853.174,3.0942,1.9158,-0.0167,5.3217,100.5191,14.46104,1.3448806,4.0751963,744,0.0683
2495335115182570368,3264.8237,4.8444,10.3797,-0.0668,0.3609,37.7838,0.013193342,,,,1e-04
2517585931994600448,5706.284,4.3887,4.6371,-0.3035,1.0392,48.0603,1.0281476,0.9598881,7.888274,286,0.0
2534388703049641472,5619.0127,4.542,5.1303,-0.0261,0.8506,255.843,0.6602313,0.9823984,0.27348143,107,0.1302
2535901287452166400,4958.5474,4.5509,5.941,0.0513,0.7876,168.8241,0.3371857,0.78251976,12.450537,291,0.0343
2614121364991061888,5675.318,3.8275,3.2094,-0.3894,2.0361,568.7375,3.0052574,1.0950172,7.804264,455,0.0013
2641087471777046016,6004.221,4.3441,4.2914,-0.5208,1.1032,339.2387,1.5481524,1.1709168,0.30204388,112,0.0792
2700166125618717696,5196.428,4.6092,5.7716,-0.0131,0.7561,83.0505,0.38237524,,,,0.1098
2878923523472328704,6390.0615,4.219,3.481,-0.2066,1.4012,640.9656,3.0388217,1.2487288,2.6835861,246,0.4156
2910755484609597312,5079.0186,4.494,5.5559,0.1235,0.8839,289.0366,0.46939054,0.8138804,,446,0.0146
3125611120515388800,6189.955,4.3275,4.1242,-0.3242,1.1162,809.0541,1.7185999,1.1537747,1.695185,182,0.2004
3167323048322924672,,,,,,,,,,,
3412163401401508096,5876.6167,4.2295,3.9853,-0.6499,1.3332,280.683,1.918966,1.0352278,8.215395,375,0.4734
3413793491812093824,4258.323,4.67,7.3432,0.169,0.6374,106.7609,0.120232835,0.66602725,7.780029,161,0.377
3460438662009633408,,,,,,,,,,,
3515865416826633984,5408.758,4.383,4.7989,-0.0219,1.0779,265.3718,0.9411808,0.9009072,12.288876,347,0.0005
3537576785745979904,5160.6445,4.4746,5.3503,0.3021,0.9326,72.5879,0.55614716,,,346,0.0024
3538141457982396928,5623.296,4.3466,4.7093,-0.0954,1.0296,41.9368,0.9568992,0.9256786,10.091582,322,1e-04
3579426053724051584,5558.4185,4.3814,4.8257,0.0182,0.9986,335.4738,0.9106069,0.89309466,12.672898,350,0.0091
3613467311677116160,5117.5444,4.5127,5.6176,-0.0178,0.8433,222.8739,0.44448492,0.8155802,12.847702,323,0.0858
3618361345307363584,5976.059,4.2407,3.8497,-0.1813,1.3498,622.8268,2.1511376,1.1197902,5.5691347,345,0.0015
3620325206217720320,,,,,,,,,,,
3624969886932157568,5684.841,4.3733,4.7726,-0.2312,0.9802,311.3133,0.93400186,0.96264493,6.6362157,290,0.067
3697828548204889344,5438.276,4.4187,5.0278,-0.4544,0.9668,726.382,0.73425215,0.86603636,12.720844,335,0.0034
3698307419878650240,6438.769,4.2178,3.7048,-0.6196,1.2627,108.5764,2.4619458,1.2470483,1.2366706,166,0.0009
3704342295607157120,,,,,,,,,,,
3767281639714811648,,,,,,,,,,,
3770419611540574080,4608.6323,4.5633,6.4318,0.1705,0.7656,41.3308,0.23861536,,,379,0.0002
3778075717162986240,5803.424,4.5203,4.8515,-0.0406,0.9021,159.3606,0.8393649,1.0279111,0.47955623,116,0.1972
3788394461991295488,6015.5444,4.1875,3.6242,-0.1712,1.4775,351.8002,2.6096008,1.140562,5.653431,358,0.0005
3791263156547622784,,,,,,,,,,,
3798690151434945280,5459.0767,4.4382,5.0224,-0.2018,0.9562,271.3006,0.73034585,0.8696536,12.562525,330,0.0126
3802549437248150656,5591.092,4.2631,4.4553,0.0925,1.1699,34.4881,1.2015823,0.90911955,,391,0.0
3811688440459523200,5265.2886,4.4507,5.2217,-0.0494,0.9456,212.4501,0.5812577,,,344,0.0008
3855245971550765312,,,,,,,,,,,
3859918999047978240,,,,,,,,,,,
3868603216762016256,5250.32,4.4432,5.2386,0.3872,0.9421,184.7389,0.6126395,,,349,0.0221
4009018273332089088,5630.9756,4.1964,3.9054,-0.2291,1.4941,256.1464,2.0365512,0.9912528,11.154566,443,0.0112
39738656627501056,4597.2437,4.5415,6.4435,-0.1408,0.767,249.4099,0.235105,,,372,0.4705
252366608956186240,,,,,,,,,,,
343449606741529728,4892.011,2.5662,0.3025,-0.278,11.0072,115.5655,62.89779,2.702632,0.501767,522,0.0735
424427538624760576,,,,,,,,,,,
2132215421518219392,5855.456,4.3517,4.6028,-0.3767,1.0017,332.2103,1.0813698,1.0386555,2.9767442,218,0.0008
2132686356093801472,5994.3867,4.2178,3.7222,-0.0601,1.4171,645.5262,2.3797843,1.0951664,6.578939,360,0.0017
2133021810218800384,5426.5166,4.5272,5.3841,-0.1397,0.8178,792.4255,0.5546203,0.93810797,0.96969754,125,0.1085
2133259510888931456,4351.8438,4.5862,6.9077,0.2897,0.7308,564.7281,0.16371411,0.6821705,,317,0.3114
2133309160710350336,,,,,,,,,,,
2135692661402242176,4849.267,4.4037,5.588,-0.3058,0.9832,838.109,0.47658658,,,437,0.1638
2221164434736927360,5315.492,4.4693,5.1849,0.1803,0.938,201.8358,0.6343937,0.86228156,11.600608,343,0.0201
2224458777730383616,,,,,,,,,,,
2275130045974715904,6131.947,4.1306,3.4664,0.0227,1.5184,139.1329,2.9337523,1.2145593,4.0544496,314,0.0024
2296342614570999552,5768.8984,4.1746,3.6946,-0.0769,1.5567,340.0224,2.4378111,1.049873,8.813925,430,0.0006
2471334872292963456,,,,,,,,,,,
2498515516990171392,6049.0347,4.101,3.6483,-0.2918,1.4503,402.8272,2.532727,1.1704824,4.687566,332,0.0025
2526899001640197248,5862.233,4.2575,3.9556,-0.0424,1.332,54.4046,1.8738604,1.0287842,8.445608,377,1e-04
2632880927441296640,5162.0327,4.5129,5.5446,0.1154,0.8561,233.7854,0.46109733,0.81552976,13.063614,312,0.0505
2666015878575546496,5050.713,4.5254,5.6731,0.2772,0.8489,173.9477,0.42297298,0.8045212,13.423085,407,0.0754
2700378125203895808,,,,,,,,,,,
2723557788822526720,,,,,,,,,,,
2768048564768256512,3111.5388,4.4842,10.9096,-0.7977,0.3101,12.1986,0.0079520745,,,,0.0003
2784120641627589760,3132.2852,4.0439,9.5324,-0.7936,0.5722,47.5897,0.028419567,,,,1e-04
2802397960855105920,5110.9243,4.4555,5.4179,-0.0824,0.9294,11.1092,0.52988535,,,464,0.0
3012677738601895168,,,,,,,,,,,
3417062653416093184,10824.804,4.223,1.2408,-0.9903,1.7537,160.9548,36.184437,2.4457843,,103,0.9202
3595647565382917120,3444.6692,4.6796,9.5566,-0.5079,0.4203,110.8916,0.021146659,,,,0.5245
3597570989175080576,6075.4224,4.1504,3.6984,-0.1804,1.3996,255.2591,2.4704976,1.1659018,4.5663424,325,0.0033
3600975145895223040,3695.0293,4.7535,8.7907,-0.1804,0.4919,157.9365,0.04055798,0.51024616,11.841652,260,0.4394
3601912720075891968,4911.343,4.5371,5.9425,0.0723,0.8067,45.3298,0.3407602,0.78992915,11.023346,369,0.0
3604866386264961792,5604.084,4.3922,4.8454,-0.0814,0.9733,111.262,0.8583402,0.93191767,8.208777,299,0.0394
3606343094804432128,,,,,,,,,,,
3607243530404017280,5725.6167,4.3749,4.7512,-0.2508,0.9775,159.7478,0.9428308,0.9854895,4.9786224,266,0.1859
3620501712193719296,4544.274,4.5904,6.6762,0.091,0.7124,107.8387,0.19667009,0.7204598,11.152576,284,0.0639
3657653114880309248,3637.6152,4.6974,8.7684,-0.0424,0.5305,10.4007,0.045178607,,,,0.0
3676091134604409728,4430.677,1.9725,-0.5942,-0.1434,22.0147,97.6065,166.22404,3.3029914,0.29233205,655,0.0004
3740176925743994752,,,,,,,,,,,
3867810120985878272,5350.963,4.4767,5.208,0.0489,0.9145,243.1166,0.61990887,0.8480238,13.02241,323,0.0046
3882879683758393344,5106.7734,3.6205,3.0167,-0.0663,2.8151,615.0729,4.189345,1.2797716,4.555515,515,0.2058
3909745223886018432,5782.4663,4.3435,4.6334,-0.3264,1.0115,139.9683,0.9937359,1.0088224,3.9546297,243,0.2213
3948419961278614272,,,,,,,,,,,
4263752921128319616,4772.0527,4.4839,5.9335,-0.0432,0.8732,340.4,0.32834044,,,400,0.9672
4287820852697823872,3816.1125,4.5948,8.1649,-0.705,0.5765,209.5582,0.059834857,0.56670225,13.152384,210,0.6251
4290415081653653376,,,,,,,,,,,
39404267653786624,5810.7944,4.4104,4.8492,-0.5139,0.9118,221.6766,0.8880326,1.0431468,0.2858679,109,0.5947
306410392895767680,,,,,,,,,,,
363012289421389056,,,,,,,,,,,
385334230892516480,3352.2085,4.0641,9.4247,-1.4361,0.4611,3.5625,0.023865439,,,,0.0
2133599775377340672,6028.878,4.185,3.6218,-0.2314,1.4759,853.666,2.557831,1.1715349,4.7891536,337,0.027
2134847343121798528,5568.583,4.4649,4.9824,0.0493,0.926,224.8535,0.7462173,0.9423474,5.59172,253,0.0699
2143746515354698496,5847.8716,4.2602,4.1061,-0.5909,1.2701,788.6057,1.7216579,1.0173243,8.611562,367,0.0041
2158781336134901760,4466.1675,4.578,6.7951,-0.0227,0.7098,58.5071,0.18155156,0.70086855,,377,0.0006
2239296103032464768,6052.443,4.2558,4.1081,-0.3508,1.1747,113.6597,1.6648456,1.0904195,4.193728,296,0.0008
2296566567050436864,5887.7607,4.3855,4.5044,-0.1252,1.0284,121.9274,1.1497015,1.0472269,3.1354797,227,0.0389
2315343240650059520,3596.2788,4.2521,8.1951,-0.9458,0.6727,53.0738,0.06763411,,,,0.0011
2323985539482908416,5674.458,4.3431,4.5578,0.0731,1.0799,231.3955,1.1153779,0.94417214,10.186908,340,0.0077
2359978293137038720,,,,,,,,,,,
2501948402746099456,4169.766,4.4871,7.1272,-0.8372,0.7296,23.9445,0.14355636,,,402,1e-04
2512326349403275520,6220.2793,4.0074,2.9876,0.059,1.8348,185.3462,4.588268,1.3478955,3.0933976,299,0.0623
2627117287488522240,3229.764,4.3425,9.4309,-0.4062,0.5606,8.8094,0.029832555,,,,1e-04
2645940445519931520,,,,,,,,,,,
2801366000472903040,5632.537,4.1359,3.9144,0.4034,1.4696,80.7568,1.9608107,0.98461235,11.371026,439,0.0693
2898239468873596800,5739.9775,4.3624,4.5084,-0.3057,1.0889,21.8886,1.1543337,0.9672955,8.551044,321,0.0
2955981696394487296,,,,,,,,,,,
2991284162905572992,,,,,,,,,,,
